Month (Real),Sub Sector,Category,Corp Item GTIN,Shipment MSU Internal,Shipment GIV Value Internal,Shipment NIV Value Internal,Shipment Consumer Unit Internal
2022M01,HOME,ADW,04084500808423,0.70220,14483.70,14005.67,1254
2022M01,HOME,ADW,08001090012159,0.26660,8114.10,7846.42,1290
2022M01,HOME,ADW,08001090015969,2.09030,56837.34,54961.68,4977
2022M01,HOME,ADW,08001090039040,6.02720,97339.28,94127.08,15068
2022M01,HOME,ADW,08001090884527,0.74220,17467.06,16890.51,2024
2022M01,HOME,ADW,08001090981646,1.98520,68568.96,66306.19,8048
2022M01,HOME,ADW,08001841122953,0.28040,12777.35,12355.65,2105
2022M01,HOME,ADW,08001841310466,0.17360,3716.64,3593.85,1068
2022M01,HOME,ADW,08001841310497,0.08190,1753.92,1695.98,504
2022M01,HOME,ADW,08001841310527,0.53190,11110.80,10744.11,2364
2022M01,HOME,ADW,08001841310558,0.35100,7332.00,7090.03,1560
2022M01,HOME,ADW,08001841543314,1.55790,49773.66,48131.23,5842
2022M01,HOME,ADW,08001841684987,0.00000,-7.56,-7.56,0
2022M01,HOME,ADW,08001841944616,2.49750,73761.78,71327.62,6459
2022M01,HOME,ADW,08001841959948,0.25890,10713.55,10360.01,1765
2022M02,HOME,ADW,04084500808423,0.04370,900.90,871.16,78
2022M02,HOME,ADW,08001090012159,0.04440,1454.95,1406.95,215
2022M02,HOME,ADW,08001090015969,0.13860,3768.60,3644.22,330
2022M02,HOME,ADW,08001090039040,4.89280,79018.72,76411.08,12232
2022M02,HOME,ADW,08001090884527,0.52220,12470.56,12059.06,1424
2022M02,HOME,ADW,08001090981646,0.39070,14357.08,13883.30,1584
2022M02,HOME,ADW,08001841122953,0.08920,4424.40,4278.39,670
2022M02,HOME,ADW,08001841310466,0.20670,4426.56,4280.41,1272
2022M02,HOME,ADW,08001841310497,0.12090,2589.12,2503.60,744
2022M02,HOME,ADW,08001841310527,0.20790,4342.80,4199.50,924
2022M02,HOME,ADW,08001841310558,0.13500,2820.00,2726.94,600
2022M02,HOME,ADW,08001841543314,0.28210,9638.35,8561.61,1058
2022M02,HOME,ADW,08001841944616,0.10210,3014.88,2915.41,264
2022M02,HOME,ADW,08001841959948,0.08730,3933.40,3803.61,595
2022M02,HOME,ADW,08006540500347,1.02170,31803.20,30753.64,2780
2022M02,HOME,ADW,08006540509753,1.91760,60934.79,58923.95,6689
2022M02,HOME,ADW,08006540522042,0.99200,21520.20,20810.12,1860
2022M02,HOME,ADW,08006540608395,0.91730,32140.08,31079.45,3528
2022M03,HOME,ADW,04084500097872,0.00000,0.00,-1669.28,0
2022M03,HOME,ADW,08001090039040,6.14560,99251.44,95976.09,15364
2022M03,HOME,ADW,08001090884527,0.74660,17835.33,17246.81,2036
2022M03,HOME,ADW,08001090981646,0.00000,0.00,-114.00,0
2022M03,HOME,ADW,08001841310466,0.22620,4844.16,4684.15,1392
2022M03,HOME,ADW,08001841310497,0.12480,2672.64,2584.35,768
2022M03,HOME,ADW,08001841310527,0.00810,169.20,163.62,36
