Month (Real),Sub Sector,Category,Corp Item GTIN,Shipment MSU Internal,Shipment GIV Value Internal,Shipment NIV Value Internal,Shipment Consumer Unit Internal
2023M01,HOME,ADW,08001090039040,6.75520,128517.68,124276.64,16888
2023M01,HOME,ADW,08001090570116,0.28400,6679.68,6459.20,1136
2023M01,HOME,ADW,08001090570123,0.18200,4280.64,4139.31,728
2023M01,HOME,ADW,08001090570154,0.08800,2069.76,2001.43,352
2023M01,HOME,ADW,08001841310466,0.25550,6382.32,6171.74,1572
2023M01,HOME,ADW,08006540752333,2.38210,85159.36,82349.14,7444
2023M01,HOME,ADW,08006540752500,1.15150,46278.80,44751.56,5080
2023M01,HOME,ADW,08006540763162,0.36480,9900.90,9574.20,1710
2023M01,HOME,ADW,08006540763353,1.41120,34987.68,33833.08,3024
2023M01,HOME,ADW,08006540763483,2.04990,56116.56,54264.88,6406
2023M01,HOME,ADW,08006540764794,0.21140,8637.20,8352.18,1510
2023M01,HOME,ADW,08006540767689,0.56960,18441.28,17832.66,1612
2023M01,HOME,ADW,08006540767771,1.56990,56454.95,54591.81,6197
2023M02,HOME,ADW,08001090012159,0.00000,0.00,-833.61,0
2023M02,HOME,ADW,08001090039040,6.60480,125638.71,121492.05,16512
2023M02,HOME,ADW,08001090570116,0.03000,705.60,682.24,120
2023M02,HOME,ADW,08001090570123,0.07000,1646.40,1591.96,280
2023M02,HOME,ADW,08001090570154,0.01800,423.36,409.34,72
2023M02,HOME,ADW,08001841310466,0.07410,1851.36,1790.28,456
2023M02,HOME,ADW,08006540752333,1.05340,37660.48,36417.70,3292
2023M02,HOME,ADW,08006540752500,0.73530,29552.84,28577.60,3244
2023M02,HOME,ADW,08006540763162,0.51630,14011.80,13549.48,2420
2023M02,HOME,ADW,08006540763353,0.65340,16198.00,15663.46,1400
2023M02,HOME,ADW,08006540763483,0.92160,25228.80,24396.31,2880
2023M02,HOME,ADW,08006540764794,0.32970,13470.60,13026.10,2355
2023M02,HOME,ADW,08006540767689,1.46140,47315.84,45754.43,4136
2023M02,HOME,ADW,08006540767771,1.84700,66421.38,64229.32,7291
2023M03,HOME,ADW,08001090039040,5.73760,104774.48,101316.95,14344
2023M03,HOME,ADW,08001090570116,0.37000,8702.40,8415.15,1480
2023M03,HOME,ADW,08001090570123,0.61200,14394.24,13919.20,2448
2023M03,HOME,ADW,08001090570154,0.17000,3998.40,3866.35,680
2023M03,HOME,ADW,08001841310466,0.31010,7746.48,7490.94,1908
2023M03,HOME,ADW,08006540752333,2.98370,106666.56,103146.53,9324
2023M03,HOME,ADW,08006540752500,1.43530,57684.52,55780.97,6332
2023M03,HOME,ADW,08006540763162,0.88000,23883.75,23095.54,4125
2023M03,HOME,ADW,08006540763353,1.74910,43364.36,41933.33,3748
2023M03,HOME,ADW,08006540763483,1.31040,34137.72,33011.25,4095
2023M03,HOME,ADW,08006540764794,0.55160,22536.80,21793.09,3940
2023M03,HOME,ADW,08006540767689,0.20490,6635.20,6416.11,580
2023M03,HOME,ADW,08006540767771,0.15400,3735.11,3611.91,608
2023M04,HOME,ADW,08001090039040,6.65600,130344.08,126042.74,16640
2023M04,HOME,ADW,08001090570116,0.43000,10113.60,9779.84,1720
2023M04,HOME,ADW,08001090570123,0.20600,4845.12,4685.12,824
2023M04,HOME,ADW,08001090570154,0.17800,4186.56,4048.34,712
2023M04,HOME,ADW,08001841310466,0.17550,4384.80,4240.15,1080
2023M04,HOME,ADW,08006540752333,1.90370,68053.31,65807.54,5949
2023M04,HOME,ADW,08006540752500,0.67370,26314.81,25446.38,2972
