"Sub Sector","Category","Shipment MSU Internal","Date"
"DISH WASHING","ADW",9.894300000000001,"2021-05"
"DISH WASHING","HDW",35.4936,"2021-05"
"FABRIC CARE","FABRIC ENHANCER",0.4321,"2021-05"
"FABRIC CARE","LAUNDRY",76.4174,"2021-05"
"FEMININE CARE","INCO",2.0488,"2021-05"
"FEMININE CARE","LINERS",21.678,"2021-05"
"FEMININE CARE","PADS",25.2928,"2021-05"
"FEMININE CARE","TAMPONS",11.4153,"2021-05"
"GROOMING","FEMALE DISPOSABL RAZ",4.7856000000000005,"2021-05"
"GROOMING","FEMALE HR RMVL APPLN",2.281,"2021-05"
"GROOMING","FEMALE PREM B&R SYS",4.2548,"2021-05"
"GROOMING","FEMALE SHAVE PREP",0.0324,"2021-05"
"GROOMING","HAIR CARE APPLIANCE",-0.028,"2021-05"
"GROOMING","MALE DISPOSABL RAZOR",21.4584,"2021-05"
"GROOMING","MALE HAIR REMV APPLN",2.8552,"2021-05"
"GROOMING","MALE OT SYSDBL EDGE",0.4428,"2021-05"
"GROOMING","MALE PREMIUM B&R SYS",19.363500000000002,"2021-05"
"GROOMING","MALE SHAVE PREP",3.1022,"2021-05"
"GROOMING","MALE SKIN CARE",0.1275,"2021-05"
"HAIR CARE","AUSSIE",0.5349,"2021-05"
"HAIR CARE","BEAR FRUITS",0.0871,"2021-05"
"HAIR CARE","H&S",42.121300000000005,"2021-05"
"HAIR CARE","HERBAL ESSENCES",0.1892,"2021-05"
"HAIR CARE","MODEST EGO",0.0171,"2021-05"
"HAIR CARE","PANTENE",47.586499999999994,"2021-05"
"HOME CARE","AIR CARE",3.818600000000001,"2021-05"
"HOME CARE","CLEANING PRODUCTS",8.056099999999999,"2021-05"
"HOME CARE","CLEANING SYSTEMS",1.0153,"2021-05"
"ORAL CARE","DENTAL FLOSS",0.4385,"2021-05"
"ORAL CARE","DENTIFRICE",6.5045,"2021-05"
"ORAL CARE","DENTURE CARE",0.4553999999999999,"2021-05"
"ORAL CARE","MANUAL ORAL CARE",1.1788000000000003,"2021-05"
"ORAL CARE","ORAL RINSE",0.9351,"2021-05"
"ORAL CARE","POWER ORAL CARE",8.507399999999999,"2021-05"
"PERSONAL CARE","APDO & BODY SPRAY",2.376099999999999,"2021-05"
"PERSONAL CARE","MASS FRAGRANCE",0.11399999999999999,"2021-05"
"PERSONAL CARE","PERSONAL CLEANSING",0.2757,"2021-05"
"PHC CARE","SLEEP AID",0.4723,"2021-05"
"SKIN CARE","FEMALE SKIN CARE",6.480300000000001,"2021-05"
