Month (Real),Sub Sector,Category,Corp Item GTIN,Shipment MSU Internal,Shipment GIV Value Internal,Shipment NIV Value Internal,Shipment Consumer Unit Internal
2024M01,HOME,ADW,08001090039040,5.63040,108427.28,104849.17,14076
2024M01,HOME,ADW,08001090570116,0.76000,17969.28,17376.30,3040
2024M01,HOME,ADW,08001090570123,0.32000,7855.68,7596.38,1280
2024M01,HOME,ADW,08001841310466,0.10920,2874.48,2779.66,672
2024M01,HOME,ADW,08006540752098,0.90110,20692.34,20009.50,11264
2024M01,HOME,ADW,08006540752128,1.78080,42671.20,41263.05,7420
2024M01,HOME,ADW,08006540752333,1.78620,67681.27,65445.84,5582
2024M01,HOME,ADW,08006540752500,0.90940,37412.35,36177.72,4012
2024M01,HOME,ADW,08006540763162,1.17660,32452.95,31381.98,5515
2024M01,HOME,ADW,08006540763353,1.25910,35453.10,34283.18,2698
2024M01,HOME,ADW,08006540763483,0.50240,18097.74,17500.56,1570
2024M01,HOME,ADW,08006540764794,-0.00700,0.00,0.00,-50
2024M01,HOME,ADW,08006540767689,1.70230,56252.74,54396.37,4818
2024M01,HOME,ADW,08006540767771,1.38620,49000.47,47383.40,5472
2024M02,HOME,ADW,08001090039040,4.76960,90741.64,87747.16,11924
2024M02,HOME,ADW,08001090570116,0.54400,12794.88,12372.68,2176
2024M02,HOME,ADW,08001090570123,0.23800,5597.76,5412.97,952
2024M02,HOME,ADW,08001841310466,0.06050,1510.32,1460.46,372
2024M02,HOME,ADW,08006540752098,1.87410,40071.95,38749.55,23426
2024M02,HOME,ADW,08006540752128,1.23650,29469.44,28496.97,5152
2024M02,HOME,ADW,08006540752333,0.65410,23383.36,22611.69,2044
2024M02,HOME,ADW,08006540752500,0.27290,10968.44,10606.49,1204
2024M02,HOME,ADW,08006540763162,0.58030,15748.80,15229.03,2720
2024M02,HOME,ADW,08006540763353,1.14430,28369.64,27433.42,2452
2024M02,HOME,ADW,08006540763483,0.41700,11414.28,11037.61,1303
