Sub Sector,Category,Shipment MSU Internal,Day Date (Real)
HAIR,AUSSIE,0.00000,2024-01-25 00:00:00
HAIR,AUSSIE,0.27850,2024-01-26 00:00:00
HAIR,AUSSIE,0.01790,2024-01-29 00:00:00
HAIR,AUSSIE,0.05670,2024-01-30 00:00:00
HAIR,AUSSIE,0.00000,2024-01-31 00:00:00
HAIR,AUSSIE,0.04600,2024-02-01 00:00:00
HAIR,AUSSIE,0.04510,2024-02-02 00:00:00
HAIR,AUSSIE,0.01580,2024-02-05 00:00:00
HAIR,AUSSIE,0.03340,2024-02-06 00:00:00
HAIR,AUSSIE,0.02210,2024-02-07 00:00:00
HAIR,AUSSIE,0.01860,2024-02-08 00:00:00
HAIR,AUSSIE,0.01700,2024-02-09 00:00:00
HAIR,AUSSIE,0.00430,2024-02-12 00:00:00
HAIR,AUSSIE,0.04160,2024-02-13 00:00:00
HAIR,AUSSIE,0.04090,2024-02-14 00:00:00
HAIR,AUSSIE,0.05340,2024-02-15 00:00:00
HAIR,AUSSIE,0.39060,2024-02-16 00:00:00
HAIR,AUSSIE,0.00630,2024-02-19 00:00:00
HAIR,AUSSIE,0.10110,2024-02-20 00:00:00
HAIR,AUSSIE,0.02570,2024-02-21 00:00:00
HAIR,AUSSIE,0.04900,2024-02-22 00:00:00
HAIR,AUSSIE,0.23750,2024-02-23 00:00:00
HAIR,AUSSIE,0.00120,2024-02-26 00:00:00
HAIR,AUSSIE,0.02040,2024-02-27 00:00:00
HAIR,AUSSIE,0.00450,2024-02-28 00:00:00
HAIR,AUSSIE,0.04100,2024-02-29 00:00:00
HAIR,AUSSIE,0.06000,2024-03-01 00:00:00
HAIR,AUSSIE,0.02700,2024-03-05 00:00:00
HAIR,AUSSIE,0.01920,2024-03-07 00:00:00
HAIR,AUSSIE,0.00860,2024-03-08 00:00:00
HAIR,AUSSIE,-0.00110,2024-03-11 00:00:00
HAIR,AUSSIE,0.00820,2024-03-12 00:00:00
HAIR,AUSSIE,0.00160,2024-03-13 00:00:00
HAIR,AUSSIE,0.00550,2024-03-14 00:00:00
HAIR,AUSSIE,0.01060,2024-03-15 00:00:00
HAIR,AUSSIE,0.00050,2024-03-18 00:00:00
HAIR,AUSSIE,0.00690,2024-03-19 00:00:00
HAIR,AUSSIE,0.00050,2024-03-20 00:00:00
HAIR,AUSSIE,0.00390,2024-03-21 00:00:00
HAIR,AUSSIE,0.01150,2024-03-22 00:00:00
HAIR,AUSSIE,0.00000,2024-03-25 00:00:00
HAIR,AUSSIE,0.00600,2024-03-26 00:00:00
HAIR,AUSSIE,0.00470,2024-03-27 00:00:00
HAIR,AUSSIE,0.00070,2024-03-28 00:00:00
HAIR,AUSSIE,0.00310,2024-04-01 00:00:00
HAIR,AUSSIE,0.01080,2024-04-02 00:00:00
HAIR,AUSSIE,0.01220,2024-04-03 00:00:00
HAIR,AUSSIE,0.02510,2024-04-04 00:00:00
HAIR,AUSSIE,0.01550,2024-04-05 00:00:00
HAIR,AUSSIE,0.00930,2024-04-08 00:00:00
HAIR,AUSSIE,0.07340,2024-04-09 00:00:00
HAIR,AUSSIE,0.04440,2024-04-11 00:00:00
HAIR,AUSSIE,0.02860,2024-04-12 00:00:00
HAIR,AUSSIE,0.01580,2024-04-15 00:00:00
HAIR,AUSSIE,0.03200,2024-04-16 00:00:00
HAIR,AUSSIE,0.01200,2024-04-17 00:00:00
HAIR,AUSSIE,0.03390,2024-04-18 00:00:00
HAIR,AUSSIE,0.01940,2024-04-19 00:00:00
HAIR,AUSSIE,0.02440,2024-04-23 00:00:00
HAIR,AUSSIE,0.00640,2024-04-24 00:00:00
HAIR,AUSSIE,0.00430,2024-04-25 00:00:00
HAIR,AUSSIE,0.01540,2024-04-26 00:00:00
HAIR,AUSSIE,0.02460,2024-04-30 00:00:00
HAIR,AUSSIE,0.00310,2024-05-02 00:00:00
HAIR,AUSSIE,0.01740,2024-05-03 00:00:00
HAIR,AUSSIE,0.01190,2024-05-06 00:00:00
HAIR,AUSSIE,0.01110,2024-05-07 00:00:00
HAIR,AUSSIE,0.00700,2024-05-08 00:00:00
HAIR,AUSSIE,0.00510,2024-05-09 00:00:00
HAIR,AUSSIE,0.00660,2024-05-10 00:00:00
HAIR,AUSSIE,0.00520,2024-05-13 00:00:00
HAIR,AUSSIE,0.01800,2024-05-14 00:00:00
HAIR,AUSSIE,0.00350,2024-05-15 00:00:00
HAIR,AUSSIE,0.00650,2024-05-16 00:00:00
HAIR,AUSSIE,0.37570,2024-05-17 00:00:00
HAIR,AUSSIE,0.19400,2024-05-21 00:00:00
HAIR,AUSSIE,0.04630,2024-05-22 00:00:00
BABY,BABY WIPES,1.77770,2023-01-02 00:00:00
BABY,BABY WIPES,2.55250,2023-01-03 00:00:00
BABY,BABY WIPES,0.98050,2023-01-04 00:00:00
BABY,BABY WIPES,1.52840,2023-01-05 00:00:00
BABY,BABY WIPES,0.32580,2023-01-06 00:00:00
BABY,BABY WIPES,1.30890,2023-01-09 00:00:00
BABY,BABY WIPES,0.44300,2023-01-10 00:00:00
BABY,BABY WIPES,1.45850,2023-01-11 00:00:00
BABY,BABY WIPES,0.19100,2023-01-12 00:00:00
BABY,BABY WIPES,0.96900,2023-01-13 00:00:00
BABY,BABY WIPES,0.16220,2023-01-14 00:00:00
BABY,BABY WIPES,1.25590,2023-01-16 00:00:00
BABY,BABY WIPES,1.05270,2023-01-17 00:00:00
BABY,BABY WIPES,0.53950,2023-01-18 00:00:00
BABY,BABY WIPES,0.91720,2023-01-19 00:00:00
BABY,BABY WIPES,1.62170,2023-01-20 00:00:00
BABY,BABY WIPES,0.84960,2023-01-23 00:00:00
BABY,BABY WIPES,0.50040,2023-01-24 00:00:00
BABY,BABY WIPES,1.19970,2023-01-25 00:00:00
BABY,BABY WIPES,0.57870,2023-01-26 00:00:00
BABY,BABY WIPES,1.42410,2023-01-27 00:00:00
BABY,BABY WIPES,0.53740,2023-01-30 00:00:00
BABY,BABY WIPES,0.83160,2023-01-31 00:00:00
BABY,BABY WIPES,1.26640,2023-02-01 00:00:00
BABY,BABY WIPES,0.19610,2023-02-02 00:00:00
BABY,BABY WIPES,1.09010,2023-02-03 00:00:00
BABY,BABY WIPES,0.34090,2023-02-04 00:00:00
BABY,BABY WIPES,-0.16610,2023-02-06 00:00:00
BABY,BABY WIPES,0.62360,2023-02-07 00:00:00
BABY,BABY WIPES,6.04160,2023-02-08 00:00:00
BABY,BABY WIPES,2.81230,2023-02-09 00:00:00
BABY,BABY WIPES,1.21970,2023-02-10 00:00:00
BABY,BABY WIPES,0.40830,2023-02-11 00:00:00
BABY,BABY WIPES,1.13680,2023-02-13 00:00:00
BABY,BABY WIPES,0.62960,2023-02-14 00:00:00
BABY,BABY WIPES,1.73100,2023-02-15 00:00:00
BABY,BABY WIPES,0.38990,2023-02-16 00:00:00
BABY,BABY WIPES,2.04870,2023-02-17 00:00:00
BABY,BABY WIPES,0.45900,2023-02-18 00:00:00
BABY,BABY WIPES,1.60910,2023-02-20 00:00:00
BABY,BABY WIPES,0.60260,2023-02-21 00:00:00
BABY,BABY WIPES,3.21960,2023-02-22 00:00:00
BABY,BABY WIPES,0.27170,2023-02-23 00:00:00
BABY,BABY WIPES,1.61560,2023-02-24 00:00:00
BABY,BABY WIPES,0.37190,2023-02-25 00:00:00
BABY,BABY WIPES,0.60910,2023-02-27 00:00:00
BABY,BABY WIPES,1.15690,2023-02-28 00:00:00
BABY,BABY WIPES,0.52860,2023-03-01 00:00:00
BABY,BABY WIPES,0.14820,2023-03-02 00:00:00
BABY,BABY WIPES,0.85120,2023-03-03 00:00:00
BABY,BABY WIPES,0.51590,2023-03-04 00:00:00
BABY,BABY WIPES,0.74120,2023-03-06 00:00:00
BABY,BABY WIPES,0.29250,2023-03-07 00:00:00
BABY,BABY WIPES,1.69870,2023-03-08 00:00:00
BABY,BABY WIPES,0.18710,2023-03-09 00:00:00
BABY,BABY WIPES,0.77320,2023-03-10 00:00:00
BABY,BABY WIPES,0.18040,2023-03-11 00:00:00
BABY,BABY WIPES,1.03790,2023-03-13 00:00:00
BABY,BABY WIPES,0.23590,2023-03-14 00:00:00
BABY,BABY WIPES,1.25580,2023-03-15 00:00:00
BABY,BABY WIPES,0.14270,2023-03-16 00:00:00
BABY,BABY WIPES,1.02610,2023-03-17 00:00:00
BABY,BABY WIPES,0.39640,2023-03-18 00:00:00
BABY,BABY WIPES,0.85990,2023-03-21 00:00:00
BABY,BABY WIPES,0.90780,2023-03-22 00:00:00
BABY,BABY WIPES,0.53710,2023-03-23 00:00:00
BABY,BABY WIPES,2.58320,2023-03-24 00:00:00
BABY,BABY WIPES,1.31560,2023-03-27 00:00:00
BABY,BABY WIPES,0.67980,2023-03-28 00:00:00
BABY,BABY WIPES,-0.07900,2023-03-29 00:00:00
BABY,BABY WIPES,0.00000,2023-03-30 00:00:00
BABY,BABY WIPES,2.59130,2023-03-31 00:00:00
BABY,BABY WIPES,0.26990,2023-04-01 00:00:00
BABY,BABY WIPES,0.66760,2023-04-03 00:00:00
BABY,BABY WIPES,2.41490,2023-04-04 00:00:00
BABY,BABY WIPES,1.77750,2023-04-05 00:00:00
BABY,BABY WIPES,1.66340,2023-04-06 00:00:00
BABY,BABY WIPES,2.57820,2023-04-12 00:00:00
BABY,BABY WIPES,0.35290,2023-04-13 00:00:00
BABY,BABY WIPES,0.98530,2023-04-14 00:00:00
BABY,BABY WIPES,0.23480,2023-04-15 00:00:00
BABY,BABY WIPES,1.34010,2023-04-17 00:00:00
BABY,BABY WIPES,0.19300,2023-04-18 00:00:00
BABY,BABY WIPES,1.40790,2023-04-19 00:00:00
BABY,BABY WIPES,0.76070,2023-04-21 00:00:00
BABY,BABY WIPES,0.60330,2023-04-22 00:00:00
BABY,BABY WIPES,1.31030,2023-04-24 00:00:00
BABY,BABY WIPES,1.14370,2023-04-25 00:00:00
BABY,BABY WIPES,3.07390,2023-04-26 00:00:00
BABY,BABY WIPES,0.00000,2023-04-27 00:00:00
BABY,BABY WIPES,1.35180,2023-04-28 00:00:00
BABY,BABY WIPES,2.04380,2023-05-02 00:00:00
BABY,BABY WIPES,1.21560,2023-05-04 00:00:00
BABY,BABY WIPES,1.50070,2023-05-05 00:00:00
BABY,BABY WIPES,1.30180,2023-05-08 00:00:00
BABY,BABY WIPES,0.17760,2023-05-09 00:00:00
BABY,BABY WIPES,1.15620,2023-05-10 00:00:00
BABY,BABY WIPES,0.00000,2023-05-11 00:00:00
BABY,BABY WIPES,1.66080,2023-05-12 00:00:00
BABY,BABY WIPES,0.09500,2023-05-13 00:00:00
BABY,BABY WIPES,0.36740,2023-05-15 00:00:00
BABY,BABY WIPES,1.86660,2023-05-17 00:00:00
BABY,BABY WIPES,0.15930,2023-05-18 00:00:00
BABY,BABY WIPES,1.31750,2023-05-19 00:00:00
BABY,BABY WIPES,0.62070,2023-05-22 00:00:00
BABY,BABY WIPES,0.31040,2023-05-23 00:00:00
BABY,BABY WIPES,1.52450,2023-05-24 00:00:00
BABY,BABY WIPES,0.96660,2023-05-26 00:00:00
BABY,BABY WIPES,0.16620,2023-05-27 00:00:00
BABY,BABY WIPES,1.20570,2023-05-29 00:00:00
BABY,BABY WIPES,1.83860,2023-05-30 00:00:00
BABY,BABY WIPES,1.36560,2023-05-31 00:00:00
BABY,BABY WIPES,0.68230,2023-06-01 00:00:00
BABY,BABY WIPES,0.74840,2023-06-02 00:00:00
BABY,BABY WIPES,0.29350,2023-06-03 00:00:00
BABY,BABY WIPES,0.75490,2023-06-05 00:00:00
BABY,BABY WIPES,1.28050,2023-06-06 00:00:00
BABY,BABY WIPES,1.84170,2023-06-07 00:00:00
BABY,BABY WIPES,0.84530,2023-06-09 00:00:00
BABY,BABY WIPES,0.64140,2023-06-10 00:00:00
BABY,BABY WIPES,0.86920,2023-06-12 00:00:00
BABY,BABY WIPES,0.59660,2023-06-13 00:00:00
BABY,BABY WIPES,1.24680,2023-06-14 00:00:00
BABY,BABY WIPES,0.39650,2023-06-15 00:00:00
BABY,BABY WIPES,1.59200,2023-06-16 00:00:00
BABY,BABY WIPES,0.62890,2023-06-19 00:00:00
BABY,BABY WIPES,1.02810,2023-06-20 00:00:00
BABY,BABY WIPES,1.10740,2023-06-21 00:00:00
BABY,BABY WIPES,0.10650,2023-06-22 00:00:00
BABY,BABY WIPES,1.03170,2023-06-23 00:00:00
BABY,BABY WIPES,0.46940,2023-06-24 00:00:00
BABY,BABY WIPES,0.63270,2023-06-26 00:00:00
BABY,BABY WIPES,0.84250,2023-06-27 00:00:00
BABY,BABY WIPES,1.00490,2023-06-28 00:00:00
BABY,BABY WIPES,2.50890,2023-06-30 00:00:00
BABY,BABY WIPES,0.57340,2023-07-03 00:00:00
BABY,BABY WIPES,1.00750,2023-07-04 00:00:00
